کد بررسی,دمای هوای اطراف ماشین (کلوین),دمای فرآیند (کلوین),سرعت چرخش اجزای ماشین (دور در دقیقه),گشتاور ماشین (نیوتون متر),مدت زمان سایش ابزار (دقیقه),وضعیت خرابی,نوع خرابی
1478,298.3,309.4,1570,35.6,138,0,No Failure
1479,298.3,309.4,1568,35.8,140,0,No Failure
1480,298.2,309.3,1355,43.8,142,0,No Failure
1481,298.2,309.3,2056,18.7,144,0,No Failure
1482,298.2,309.2,1332,60.2,147,0,No Failure
1483,298.1,309.1,1448,52.5,150,0,No Failure
1484,298,308.9,1578,35.6,153,0,No Failure
1485,298,309,1562,39.2,155,0,No Failure
1486,298.1,309,1976,19.3,158,0,No Failure
1487,298.2,309.2,1524,34.6,161,0,No Failure
1488,298.2,309.1,1429,48.5,164,0,No Failure
1489,298.2,309.1,1568,36.3,166,0,No Failure
1490,298.2,309,1723,26.6,168,0,No Failure
1491,298.2,309,1341,43.8,171,0,No Failure
1492,298.1,308.9,1353,46.2,173,0,No Failure
1493,298,308.7,1479,58.5,176,1,Power Failure
1494,298,308.8,1496,44.9,179,0,No Failure
1495,298,308.7,1377,48.5,181,0,No Failure
1496,297.9,308.5,1383,44.6,184,0,No Failure
1497,298,308.7,1268,69.4,189,1,Power Failure
1498,298,308.7,1629,34.3,191,0,No Failure
1499,298,308.8,1790,27.2,193,0,No Failure
1500,298.1,308.8,2206,16.3,195,0,No Failure
1501,298,308.7,2101,17.4,198,0,No Failure
1502,298,308.7,1436,48.2,201,0,No Failure
1503,298,308.7,1462,48.2,204,0,No Failure
1504,298,308.7,1771,26.2,206,0,No Failure
1505,298,308.7,1506,47,208,0,No Failure
1506,298,308.7,1626,36.7,210,0,No Failure
1507,298,308.8,1610,33.7,212,0,No Failure
1508,298,308.6,1376,55.7,214,0,No Failure
1509,298,308.6,1507,37.3,217,0,No Failure
1510,298,308.5,1429,37.7,220,1,Tool Wear Failure
1511,298.1,308.7,1547,38.9,0,0,No Failure
1512,298.1,308.7,1642,30.3,3,0,No Failure
1513,298,308.7,1503,36.3,5,0,No Failure
1514,298.1,308.7,1568,32.9,10,0,No Failure
1515,298.1,308.8,1628,37.6,12,0,No Failure
1516,298.2,308.9,1614,35.5,15,0,No Failure
1517,298.2,308.9,1278,54,18,0,No Failure
1518,298.2,308.9,1408,38.8,20,0,No Failure
1519,298.2,309,1371,55.7,23,0,No Failure
1520,298.2,308.9,1512,38.5,28,0,No Failure
1521,298.3,309.1,1472,40.1,31,0,No Failure
1522,298.2,308.9,1585,34.3,33,0,No Failure
1523,298.2,309,1562,37.7,36,0,No Failure
1524,298.3,309,1519,36.9,41,0,No Failure
1525,298.2,309,1601,35.8,43,0,No Failure
1526,298.2,309,2449,13.8,45,0,No Failure
1527,298.1,309,1787,27.6,47,0,No Failure
1528,298.1,309.1,1425,44.5,49,0,No Failure
1529,298.1,309,1559,34,54,0,No Failure
1530,298.1,309,1557,36,56,0,No Failure
1531,298.1,309,1497,40.5,58,0,No Failure
1532,298.1,309,1438,41.4,60,0,No Failure
1533,298.1,308.9,1417,39.2,65,0,No Failure
1534,298,308.9,1339,51.4,68,0,No Failure
1535,298,308.8,1757,29.1,71,0,No Failure
1536,298,308.8,1581,36.1,73,0,No Failure
1537,298.2,308.9,1326,54.4,75,0,No Failure
1538,298.4,309.1,1467,39.6,78,0,No Failure
1539,298.4,309.1,1798,29.6,81,0,No Failure
1540,298.5,309.2,1449,46.4,83,0,No Failure
1541,298.4,309.1,1525,39.3,86,0,No Failure
1542,298.4,309,2304,15.1,89,0,No Failure
1543,298.3,308.9,1379,54.7,91,0,No Failure
1544,298.4,308.9,1628,34.9,93,0,No Failure
1545,298.4,309,1474,52.7,95,0,No Failure
1546,298.4,309,1544,38.8,97,0,No Failure
1547,298.4,308.9,1391,48.4,100,0,No Failure
1548,298.3,308.9,1348,55.5,102,0,No Failure
1549,298.3,308.8,1349,52.1,104,0,No Failure
1550,298.4,308.9,1706,29.5,107,0,No Failure
1551,298.4,308.9,1638,32.4,109,0,No Failure
1552,298.4,308.8,1458,40.1,111,0,No Failure
1553,298.5,308.9,1781,27.8,113,0,No Failure
1554,298.5,308.8,1332,59.1,115,0,No Failure
1555,298.4,308.7,1584,31.7,117,0,No Failure
1556,298.4,308.6,1491,42,120,0,No Failure
1557,298.4,308.5,1398,47.1,122,0,No Failure
1558,298.3,308.4,1585,30.6,127,0,No Failure
1559,298.2,308.3,1476,43.5,129,0,No Failure
1560,298.2,308.3,1458,41.8,132,0,No Failure
1561,298.2,308.4,1510,39.9,134,0,No Failure
1562,298.2,308.4,1388,53.8,137,0,No Failure
1563,298.2,308.3,2216,16.8,139,0,No Failure
1564,298.2,308.3,1402,51,141,0,No Failure
1565,298,308.2,2090,19,143,0,No Failure
1566,298,308.2,1459,42.1,146,0,No Failure
1567,298,308.1,1403,44.8,148,0,No Failure
1568,298.1,308.2,1521,39.3,151,0,No Failure
1569,298.2,308.2,1407,47.1,153,0,No Failure
1570,298.1,308.2,1654,35.3,155,0,No Failure
1571,298.2,308.4,1452,43.5,158,0,No Failure
1572,298.3,308.4,1528,37.3,160,0,No Failure
1573,298.2,308.3,1230,59.6,162,0,No Failure
1574,298.2,308.2,1466,42.4,164,0,No Failure
1575,298.2,308.2,1478,50.1,166,0,No Failure
1576,298.2,308.3,2057,18,168,0,No Failure
1577,298.3,308.4,1490,41.7,170,0,No Failure
1578,298.3,308.4,1484,43.4,172,0,No Failure
1579,298.3,308.4,1593,37,174,0,No Failure
1580,298.3,308.3,1444,43.8,176,0,No Failure
1581,298.3,308.4,1444,47.5,178,0,No Failure
1582,298.2,308.3,1560,33,181,0,No Failure
1583,298.1,308.3,1530,42,184,0,No Failure
1584,298.2,308.4,1310,61,189,1,Overstrain Failure
1585,298.2,308.3,1639,33.3,191,0,No Failure
1586,298.2,308.3,1400,48.7,194,0,No Failure
1587,298.3,308.4,1486,44.2,196,0,No Failure
1588,298.2,308.3,1448,43.3,199,0,No Failure
1589,298.2,308.3,1688,32,202,0,No Failure
1590,298.1,308.3,1453,41.5,204,0,No Failure
1591,298.2,308.4,1497,37.7,207,0,No Failure
1592,298.2,308.4,1355,49.4,209,0,No Failure
1593,298.1,308.4,1592,38.2,211,0,No Failure
1594,298,308.3,1544,34.7,213,0,No Failure
1595,298,308.2,1373,51.2,215,0,No Failure
1596,298,308.2,1365,52.9,218,1,Overstrain Failure
1597,298,308.1,1877,24.3,0,0,No Failure
1598,297.9,308.1,1531,40.8,2,0,No Failure
1599,297.9,308,1501,36.7,4,0,No Failure
1600,297.9,308,1490,46.2,6,0,No Failure
1601,297.8,307.8,1543,43.7,8,0,No Failure
1602,297.8,307.8,1597,38.2,11,0,No Failure
1603,297.8,307.9,1600,33.5,13,0,No Failure
1604,297.8,307.8,1622,32.1,18,0,No Failure
1605,297.8,307.8,1452,39.8,21,0,No Failure
1606,297.8,307.8,1396,42.5,23,0,No Failure
1607,297.8,307.7,1505,39.7,25,0,No Failure
1608,297.8,307.8,1412,48.3,27,0,No Failure
1609,297.8,307.7,1393,38,29,0,No Failure
1610,297.7,307.7,1581,34.9,31,0,No Failure
1611,297.8,307.8,1573,37.9,33,0,No Failure
1612,297.8,307.9,1726,27.3,35,0,No Failure
1613,297.9,307.9,1540,39.8,38,0,No Failure
1614,297.9,308,1296,62.9,41,0,No Failure
1615,297.8,307.9,1802,25.8,43,0,No Failure
1616,297.8,307.9,1447,48.6,46,0,No Failure
1617,297.8,307.8,1662,30.7,48,0,No Failure
1618,297.8,307.8,1563,34.3,53,0,No Failure
1619,297.9,307.8,1286,59.5,55,0,No Failure
1620,297.9,307.7,1590,34.6,57,0,No Failure
1621,297.9,307.7,1492,43.7,59,0,No Failure
1622,297.7,307.6,1844,21.9,61,0,No Failure
1623,297.7,307.6,1538,38.3,63,0,No Failure
1624,297.7,307.6,1921,22.9,68,0,No Failure
1625,297.8,307.8,1310,57.9,70,0,No Failure
1626,297.9,307.8,1365,46.9,73,0,No Failure
1627,297.9,307.8,1303,59.3,75,0,No Failure
1628,297.9,307.8,1499,37.5,78,0,No Failure
1629,297.9,307.8,1451,38.2,80,0,No Failure
1630,297.9,307.9,1336,54.4,82,0,No Failure
1631,297.9,307.9,1412,44.5,85,0,No Failure
1632,298,308,1433,39.2,87,0,No Failure
1633,297.9,307.9,1426,43.6,89,0,No Failure
1634,297.9,307.9,1476,45.2,91,0,No Failure
1635,297.9,307.9,1406,58.5,93,0,No Failure
1636,297.8,307.8,1383,56.5,98,0,No Failure
1637,297.9,307.8,1505,37.3,100,0,No Failure
1638,297.9,307.8,1665,33.9,102,0,No Failure
1639,297.9,307.8,1397,45,104,0,No Failure
1640,297.9,307.8,1450,43.5,106,0,No Failure
1641,298,307.8,1567,36.4,109,0,No Failure
1642,298,308,1555,37,111,0,No Failure
1643,298,307.8,1588,35.4,114,0,No Failure
1644,298,307.8,1453,37.7,119,0,No Failure
1645,298,307.8,1622,33.3,121,0,No Failure
1646,297.9,307.8,1538,38.5,123,0,No Failure
1647,297.9,307.7,1527,42.8,125,0,No Failure
1648,297.8,307.8,1761,28.9,128,0,No Failure
1649,297.9,307.8,1373,50.2,130,0,No Failure
1650,298,307.9,1482,37.8,132,0,No Failure
1651,298,307.9,1417,51,137,0,No Failure
1652,298,307.8,1414,51.7,140,0,No Failure
1653,297.9,307.8,1635,34,142,0,No Failure
1654,298,307.8,1386,57.3,147,0,No Failure
1655,298.2,308.1,1379,62.3,149,0,No Failure
1656,298.2,308,1577,35.9,151,0,No Failure
1657,298.2,308.1,1532,42.5,154,0,No Failure
1658,298.1,308,1374,48.8,156,0,No Failure
1659,298.1,308,1570,35.3,159,0,No Failure
1660,298.1,308,1697,31,164,0,No Failure
1661,298.2,308,1499,44.1,166,0,No Failure
1662,298.2,308,1411,47.2,168,0,No Failure
1663,298.2,307.9,1462,45.5,171,0,No Failure
1664,298.1,307.9,1759,28.6,176,0,No Failure
1665,298.2,308,1535,38,179,0,No Failure
1666,298.2,307.9,1491,39.7,181,0,No Failure
1667,298.2,307.9,1551,36,186,0,No Failure
1668,298.2,307.9,1769,27.2,188,0,No Failure
1669,298.2,307.9,1551,34.1,190,0,No Failure
1670,298.2,307.9,1544,31.4,192,0,No Failure
1671,298.2,307.8,1528,31.1,194,0,No Failure
1672,298.1,307.9,1614,35.8,196,0,No Failure
1673,298.1,307.8,1432,49.8,198,0,No Failure
1674,298.1,307.8,1384,43.7,200,0,No Failure
1675,298.1,307.8,1540,37.8,203,0,No Failure
1676,298,307.7,1407,43.9,205,0,No Failure
1677,297.9,307.6,1418,43,207,0,No Failure
1678,297.9,307.5,1647,30.8,212,0,No Failure
1679,298,307.5,1644,32.8,215,0,No Failure
1680,298,307.5,1792,27.9,217,0,No Failure
1681,297.9,307.4,1610,34.6,219,0,No Failure
1682,297.8,307.3,1804,26,222,0,No Failure
1683,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
1684,297.9,307.4,1403,52.8,0,0,No Failure
1685,297.8,307.3,1438,44.5,3,0,No Failure
1686,297.9,307.3,1824,26.3,5,0,No Failure
1687,297.9,307.3,1663,28.7,7,0,No Failure
1688,297.9,307.3,1502,36.7,12,0,No Failure
1689,297.9,307.4,1606,35.5,14,0,No Failure
1690,297.9,307.5,1561,37.7,16,0,No Failure
1691,297.9,307.4,1435,42.9,18,0,No Failure
1692,297.9,307.5,1602,38.3,21,0,No Failure
1693,298.1,307.6,1764,27.7,23,0,No Failure
1694,298,307.5,1683,27.8,26,0,No Failure
1695,298,307.5,1618,35.2,31,0,No Failure
1696,298,307.6,1509,41.6,33,0,No Failure
1697,297.9,307.6,1550,39,35,0,No Failure
1698,297.9,307.6,1519,44,37,0,No Failure
1699,297.9,307.6,1481,38,40,0,No Failure
1700,298.1,307.7,1289,48.3,42,0,No Failure
1701,298,307.6,1844,23.8,44,0,No Failure
1702,298,307.7,1479,42.5,47,0,No Failure
1703,298,307.7,1430,47.3,49,0,No Failure
1704,298.1,307.8,1636,36.7,51,0,No Failure
1705,298.1,307.8,1503,44.7,54,0,No Failure
1706,298.1,307.8,1608,32.6,57,0,No Failure
1707,298.2,307.8,1521,42.9,60,0,No Failure
1708,298.2,307.8,1439,41.6,62,0,No Failure
1709,298.2,307.8,1627,31.5,64,0,No Failure
1710,298.2,307.8,1749,26.1,66,0,No Failure
1711,298.2,307.8,1530,35.9,68,0,No Failure
1712,298.2,307.8,1355,51.3,70,0,No Failure
1713,298.3,307.9,1551,33.8,72,0,No Failure
1714,298.2,307.8,1515,46.7,74,0,No Failure
1715,298.2,307.8,1388,48.6,76,0,No Failure
1716,298.2,307.8,1585,34.6,78,0,No Failure
1717,298.1,307.7,1523,37.7,80,0,No Failure
1718,298.2,307.6,1369,54.5,82,0,No Failure
1719,298.2,307.7,1681,31,84,0,No Failure
1720,298.2,307.7,1503,38.3,87,0,No Failure
1721,298.2,307.7,1459,44.5,89,0,No Failure
1722,298.2,307.7,1688,32.4,91,0,No Failure
1723,298.2,307.7,1952,21.6,93,0,No Failure
1724,298.2,307.8,2029,19.9,96,0,No Failure
1725,298.3,307.8,1457,52.5,98,0,No Failure
1726,298.3,307.8,1392,50.4,101,0,No Failure
1727,298.3,307.8,1906,22.1,104,0,No Failure
1728,298.3,307.7,1602,33.4,106,0,No Failure
1729,298.3,307.7,1465,49.4,109,0,No Failure
1730,298.3,307.7,1439,43.8,111,0,No Failure
1731,298.3,307.8,1330,55.4,114,0,No Failure
1732,298.3,307.9,1485,42,117,0,No Failure
1733,298.4,307.9,1700,28.2,120,0,No Failure
1734,298.4,308,1515,42.8,125,0,No Failure
1735,298.5,308.1,1501,39.2,127,0,No Failure
1736,298.4,308,1380,47.6,130,0,No Failure
1737,298.4,307.9,1544,35.9,132,0,No Failure
1738,298.4,307.9,1743,27.3,134,0,No Failure
1739,298.4,307.9,1948,21.4,136,0,No Failure
1740,298.5,307.9,1260,54.2,141,0,No Failure
1741,298.5,307.9,1640,33.1,146,0,No Failure
1742,298.5,308,1363,49.2,149,0,No Failure
1743,298.5,308,1379,49.6,152,0,No Failure
1744,298.5,308,1713,25.8,154,0,No Failure
1745,298.5,308,1461,51.9,157,0,No Failure
1746,298.5,308,1624,29.8,160,0,No Failure
1747,298.4,308,1526,41.1,162,0,No Failure
1748,298.4,307.9,2381,14.2,164,0,No Failure
1749,298.4,307.7,1626,31.1,166,0,Random Failures
1750,298.3,307.7,1576,33.8,171,0,No Failure
1751,298.4,307.8,1617,31.6,173,0,No Failure
1752,298.3,307.6,1942,20.6,176,0,No Failure
1753,298.2,307.6,1492,37.2,178,0,No Failure
1754,298.2,307.5,1470,51.3,180,0,No Failure
1755,298,307.4,1463,46.5,182,0,No Failure
1756,298,307.3,1424,46.5,185,0,No Failure
1757,298.1,307.4,1363,60.1,187,0,No Failure
1758,298.1,307.4,1335,56.2,190,0,No Failure
1759,298.1,307.4,1608,33.9,193,0,No Failure
1760,298,307.4,1606,35.2,195,0,No Failure
1761,298.1,307.5,1684,33.1,200,0,No Failure
1762,298.1,307.6,1950,20.3,202,0,No Failure
1763,298.2,307.6,1460,48.6,204,0,No Failure
1764,298.2,307.6,1511,31,209,1,Tool Wear Failure
1765,298.2,307.6,1318,55.7,0,0,No Failure
1766,298.2,307.6,1368,51.8,5,0,No Failure
1767,298.3,307.7,1717,27.1,7,0,No Failure
1768,298.3,307.7,1520,41.4,10,0,No Failure
1769,298.3,307.8,1485,42,13,0,No Failure
1770,298.4,307.9,1981,23.2,16,0,No Failure
1771,298.4,307.9,1605,31,18,0,No Failure
1772,298.4,307.9,1446,45.3,23,0,No Failure
1773,298.4,308,1508,47.9,25,0,No Failure
1774,298.5,308,1384,59.5,27,0,No Failure
1775,298.5,308,1519,37.3,29,0,No Failure
1776,298.5,308,1404,48.1,32,0,No Failure
1777,298.5,308.1,1564,31.1,34,0,No Failure
1778,298.6,308.2,1555,36.8,36,0,No Failure
1779,298.6,308.2,1325,54,41,0,No Failure
1780,298.6,308.2,1488,44,43,0,No Failure
1781,298.5,308.2,1595,32.3,46,0,No Failure
1782,298.5,308.1,1662,28.6,48,0,No Failure
1783,298.4,308,1571,37.4,50,0,No Failure
1784,298.3,308,1553,41,52,0,No Failure
1785,298.3,308,2886,3.8,57,1,Power Failure
1786,298.2,308,1538,38.2,59,0,No Failure
1787,298.4,308.2,1618,33,61,0,No Failure
1788,298.4,308.2,1364,45.9,63,0,No Failure
1789,298.3,308,1442,47.3,65,0,No Failure
1790,298.2,307.9,1313,67.3,67,1,Power Failure
1791,298.2,307.9,1847,23.6,69,0,No Failure
1792,298.1,307.8,1524,40.8,71,0,No Failure
1793,298.1,307.7,1445,48,73,0,No Failure
1794,298.1,307.8,1761,28.2,76,0,No Failure
1795,298.1,307.8,1514,43.5,78,0,No Failure
1796,298.1,307.7,1498,38.3,81,0,No Failure
1797,298.1,307.6,1542,37.1,84,0,No Failure
1798,298,307.6,1508,41.8,89,0,No Failure
1799,298,307.5,1431,52.9,92,0,No Failure
1800,298,307.5,1427,45.1,95,0,No Failure
1801,298,307.5,1524,36.3,98,0,No Failure
1802,298,307.5,1427,43.6,101,0,No Failure
1803,298.1,307.6,1496,44.1,104,0,No Failure
1804,298.1,307.7,1388,40.3,109,0,No Failure
1805,298.1,307.7,1495,48.1,111,0,No Failure
1806,298.1,307.7,1376,56.2,113,0,No Failure
1807,298,307.6,1593,32.2,118,0,No Failure
1808,298,307.6,1654,28.9,123,0,No Failure
1809,298.1,307.7,2567,12.8,125,1,Power Failure
1810,298.1,307.7,1767,27,127,0,No Failure
1811,298.1,307.6,1364,53.8,129,0,No Failure
1812,298.1,307.8,1569,31.2,131,0,No Failure
1813,298.2,307.8,1476,36.8,134,0,No Failure
1814,298.1,307.7,1479,45,136,0,No Failure
1815,298.1,307.7,1650,34.1,138,0,No Failure
1816,298.1,307.6,1565,36.3,140,0,No Failure
1817,298.1,307.6,1460,46.5,143,0,No Failure
1818,298.1,307.7,1664,27.6,145,0,No Failure
1819,298.1,307.7,1435,40.9,147,0,No Failure
1820,298.1,307.6,2066,19.2,150,0,No Failure
1821,298.1,307.5,1493,43.7,153,0,No Failure
1822,298.1,307.6,1354,43.3,155,0,No Failure
1823,298.1,307.6,1488,39.4,157,0,No Failure
1824,298.1,307.7,1414,48.7,159,0,No Failure
1825,298.1,307.5,1391,57.4,161,0,No Failure
1826,298,307.5,1784,27.8,163,0,No Failure
1827,297.8,307.3,1516,40.1,166,0,No Failure
1828,297.9,307.3,1420,47.8,171,0,No Failure
1829,297.8,307.2,1351,56.3,174,0,No Failure
1830,297.8,307.2,1880,23,176,0,No Failure
1831,297.8,307.3,1859,24,178,0,No Failure
1832,297.8,307.3,1315,54,180,0,No Failure
1833,297.8,307.4,1330,51.7,183,0,No Failure
1834,297.8,307.3,1327,61,186,1,Overstrain Failure
1835,297.8,307.2,1498,38.1,188,0,No Failure
1836,297.8,307.3,1555,35.8,190,0,No Failure
1837,297.7,307.2,1518,35.8,195,0,No Failure
1838,297.7,307.2,1392,43,197,0,No Failure
1839,297.8,307.2,1456,39.6,199,0,No Failure
1840,297.7,307.1,1715,30.2,0,0,No Failure
1841,297.7,307.2,1405,43.7,2,0,No Failure
1842,297.7,307.2,1668,37.8,5,0,No Failure
1843,297.7,307.1,1855,22.5,7,0,No Failure
1844,297.6,307.1,1496,39.2,12,0,No Failure
1845,297.6,307.1,1471,44.9,14,0,No Failure
1846,297.7,307.2,1444,40,17,0,No Failure
1847,297.7,307.3,1514,38.6,19,0,No Failure
1848,297.8,307.3,1412,50.7,24,0,No Failure
1849,297.7,307.2,1429,44.1,26,0,No Failure
1850,297.7,307.2,1668,32.7,31,0,No Failure
1851,297.7,307.2,1372,52.8,33,0,No Failure
1852,297.7,307.3,1365,49.2,36,0,No Failure
1853,297.6,307.1,1526,39.1,39,0,No Failure
1854,297.6,307.2,1486,40.6,42,0,No Failure
1855,297.6,307.2,1470,42.6,44,0,No Failure
1856,297.7,307.3,1249,62.8,47,0,No Failure
1857,297.8,307.4,1752,26.1,52,0,No Failure
1858,297.7,307.4,1643,36.5,55,0,No Failure
1859,297.8,307.4,1488,36.1,57,0,No Failure
1860,297.8,307.4,1355,45.8,60,0,No Failure
1861,297.8,307.6,1607,30.3,62,0,No Failure
1862,297.9,307.6,1609,30.3,64,0,No Failure
1863,297.9,307.7,1517,44.4,67,0,No Failure
1864,297.9,307.7,1517,39.5,69,0,No Failure
1865,297.9,307.7,1546,37.6,72,0,No Failure
1866,297.9,307.7,1567,34.7,74,0,No Failure
1867,298.1,307.9,1662,28.9,76,0,No Failure
1868,298.1,307.9,1502,41.8,79,0,No Failure
1869,298.3,308,1361,56.9,81,0,No Failure
1870,298.3,308.1,1630,32.7,83,0,No Failure
1871,298.3,308,1486,42.3,86,0,No Failure
1872,298.3,308.1,1840,21.5,88,0,No Failure
1873,298.3,308.1,1326,58.4,90,0,No Failure
1874,298.4,308.1,1367,57.8,92,0,No Failure
1875,298.4,308.1,1598,32.7,94,0,No Failure
1876,298.3,308,1363,50.1,96,0,No Failure
1877,298.3,308,1242,62,98,0,No Failure
1878,298.2,307.8,1566,33.8,100,0,No Failure
1879,298.1,307.7,1424,47.7,103,0,No Failure
1880,298.2,307.7,1608,33.8,106,0,No Failure
1881,298.1,307.7,1705,29.1,109,0,No Failure
1882,298,307.6,1548,45.8,111,0,No Failure
1883,298,307.6,1581,43.4,113,0,No Failure
1884,298,307.6,1472,46.7,116,0,No Failure
1885,298,307.6,1792,26,119,0,No Failure
1886,298,307.6,1683,32.8,122,0,No Failure
1887,297.9,307.6,1503,40.7,124,0,No Failure
1888,297.9,307.5,1642,32.4,126,0,No Failure
1889,297.8,307.4,1902,24.3,129,0,No Failure
1890,297.7,307.4,1432,40.2,132,0,No Failure
1891,297.8,307.4,1512,40.8,137,0,No Failure
1892,297.7,307.4,1764,29,139,0,No Failure
1893,297.8,307.4,1438,43.6,141,0,No Failure
1894,297.8,307.5,1631,29.9,144,0,No Failure
1895,297.9,307.5,1880,23.3,146,0,No Failure
1896,297.9,307.6,1344,54.3,151,0,No Failure
1897,297.9,307.5,1574,35.8,153,0,No Failure
1898,297.8,307.4,1418,41.2,155,0,No Failure
1899,297.8,307.5,1372,54.1,157,0,No Failure
1900,297.8,307.5,1388,40,159,0,No Failure
1901,297.9,307.6,1493,36,161,0,No Failure
1902,297.9,307.6,1505,40.1,166,0,No Failure
1903,298,307.6,1694,29.1,169,0,No Failure
1904,297.9,307.6,1968,20.4,171,0,No Failure
1905,298,307.6,1569,35.6,173,0,No Failure
1906,297.9,307.6,1687,29.1,176,0,No Failure
1907,297.9,307.6,1430,52.4,178,0,No Failure
1908,297.9,307.6,1504,42.4,180,0,No Failure
1909,297.9,307.6,1977,20.2,182,0,No Failure
1910,298,307.7,1435,45.6,184,0,No Failure
1911,298,307.7,1547,36.8,186,0,No Failure
1912,298.1,307.8,1316,57.2,191,0,No Failure
1913,298,307.7,1621,34.9,194,0,No Failure
1914,298,307.8,1492,40.2,197,0,No Failure
1915,298,307.7,1643,32.3,200,0,No Failure
1916,298,307.7,1492,38.7,202,0,No Failure
1917,298,307.7,1387,50.8,204,0,No Failure
1918,298.1,307.9,1463,47.3,206,0,No Failure
1919,298.1,307.9,1496,40,0,0,No Failure
1920,298.2,308,1658,30,3,0,No Failure
1921,298.1,307.9,2161,17.5,5,0,No Failure
1922,298.1,307.9,1665,32,7,0,No Failure
1923,298,307.8,1716,26.6,9,0,No Failure
1924,298,307.7,1529,34.1,11,0,No Failure
1925,297.9,307.7,1353,50.7,13,0,No Failure
1926,297.9,307.7,1537,37.7,15,0,No Failure
1927,298,307.7,1606,30.8,17,0,No Failure
1928,298,307.8,1314,47.8,19,0,No Failure
1929,298,307.8,1623,29.9,24,0,No Failure
1930,298,307.8,1483,50.9,26,0,No Failure
1931,298.1,307.9,1569,37,29,0,No Failure
1932,298.2,308,1969,21.7,32,0,No Failure
1933,298.1,308,1686,29.3,35,0,No Failure
1934,298.1,308,1638,35.1,38,0,No Failure
1935,298.1,307.9,1698,33.3,40,0,No Failure
1936,298.1,307.9,1377,55.1,42,0,No Failure
1937,298.1,308,2129,18.4,45,0,No Failure
1938,298.2,308,1411,42.4,48,0,No Failure
1939,298.1,307.9,1517,40.8,50,0,No Failure
1940,298.1,307.9,1303,53.9,52,0,No Failure
1941,298.1,307.9,1578,35.6,55,0,No Failure
1942,298.1,307.9,1425,58.2,57,0,No Failure
1943,298.1,308,1456,42.4,59,0,No Failure
1944,298.1,308,1704,30.9,61,0,No Failure
1945,298.1,308.1,1791,27.3,63,0,No Failure
1946,298.1,308.1,1616,32.8,65,0,No Failure
1947,298.2,308.1,1622,34.9,67,0,No Failure
1948,298.2,308.1,1462,49.9,69,0,No Failure
1949,298.1,308.1,1410,45.8,71,0,No Failure
1950,298.1,308,1543,41.9,73,0,No Failure
1951,298,307.9,1479,47.6,76,0,No Failure
1952,298,307.8,1839,22.7,79,0,No Failure
1953,298,307.8,1266,60.5,81,0,No Failure
1954,297.9,307.7,1593,34.9,83,0,No Failure
1955,297.9,307.8,1459,46.9,85,0,No Failure
1956,297.9,307.7,1308,55.2,87,0,No Failure
1957,297.9,307.7,1364,46.8,89,0,No Failure
1958,297.9,307.7,1618,35.9,92,0,No Failure
1959,297.9,307.7,1464,43.2,97,0,No Failure
1960,297.8,307.6,1352,49.4,102,0,No Failure
1961,297.8,307.6,1446,51.4,105,0,No Failure
1962,297.8,307.5,1448,51.2,107,0,No Failure
1963,297.8,307.5,1391,48.6,109,0,No Failure
1964,297.7,307.5,1379,43.3,111,0,No Failure
1965,297.8,307.5,1405,46.9,113,0,No Failure
1966,297.8,307.5,1581,33.1,116,0,No Failure
1967,297.9,307.6,1515,40.5,118,0,No Failure
1968,297.9,307.6,1589,37.8,120,0,No Failure
1969,298,307.6,1281,50.8,122,0,No Failure
1970,297.8,307.5,1631,31.3,124,0,No Failure
1971,297.9,307.6,1202,67,129,0,No Failure
1972,297.9,307.6,1298,52.7,132,0,No Failure
1973,297.9,307.6,1612,30.7,134,0,No Failure
1974,297.9,307.6,1747,25.3,136,0,No Failure
1975,298,307.6,1450,48.7,138,0,No Failure
1976,298,307.7,1422,45.6,140,0,No Failure
1977,298.1,307.7,1419,47.4,142,0,No Failure
1978,298.1,307.7,1633,30.7,145,0,No Failure
1979,298,307.7,1442,43.6,148,0,No Failure
1980,298,307.6,1420,45.8,150,0,No Failure
1981,298,307.6,1301,58.5,155,0,No Failure
1982,298,307.6,1385,45,158,0,No Failure
1983,298,307.7,1487,41.3,160,0,No Failure
1984,298,307.6,1459,44.4,163,0,No Failure
1985,298,307.5,1387,45.5,166,0,No Failure
1986,298.1,307.7,1537,40.8,169,0,No Failure
1987,298.1,307.6,1498,42.9,171,0,No Failure
1988,298.2,307.8,1599,31.2,173,0,No Failure
1989,298.3,307.9,1420,39.2,176,0,No Failure
1990,298.2,307.9,1785,23.4,181,0,No Failure
1991,298.2,307.8,1423,48.1,183,0,No Failure
1992,298.2,307.8,1583,36.6,185,0,No Failure
1993,298.2,307.8,1375,46.6,188,0,No Failure
1994,298.3,308,1463,42.5,190,0,No Failure
1995,298.2,307.9,1403,45.1,193,0,No Failure
1996,298.3,308,1451,47.1,196,0,No Failure
1997,298.4,308,1416,38.2,198,1,Tool Wear Failure
1998,298.3,308.1,1672,41.3,0,0,No Failure
1999,298.3,308,1637,30.8,2,0,No Failure
2000,298.4,308,1540,37.8,7,0,No Failure
2001,298.4,308.1,1279,53.1,9,0,No Failure
2002,298.4,308.2,1604,34.9,11,0,No Failure
2003,298.5,308.2,1654,27.1,13,0,No Failure
2004,298.5,308.2,1564,37.5,15,0,No Failure
2005,298.5,308.2,1451,47.5,18,0,No Failure
